"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Exams\QuestionTextArea.js", "JavaScript", 23, 0, 0, 0, 7, 30
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Exams\QuestionTextArea.module.css", "CSS", 0, 7, 0, 0, 1, 8
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Grades\GradeCourses.js", "JavaScript", 70, 0, 0, 0, 7, 77
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Grades\GradeCourses.module.css", "CSS", 0, 66, 0, 0, 13, 79
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Grades\GradeDetails.js", "JavaScript", 116, 0, 0, 0, 6, 122
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Grades\GradeDetails.module.css", "CSS", 0, 12, 0, 0, 2, 14
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Grades\GradeTable.js", "JavaScript", 83, 0, 0, 0, 6, 89
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Grades\GradeTable.module.css", "CSS", 0, 60, 0, 0, 13, 73
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Lessons\File.js", "JavaScript", 51, 0, 0, 0, 7, 58
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Lessons\File.module.css", "CSS", 0, 9, 0, 0, 2, 11
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Lessons\FileItem.js", "JavaScript", 60, 0, 0, 0, 6, 66
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Lessons\FileItem.module.css", "CSS", 0, 21, 0, 0, 4, 25
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Lessons\LessonDetails.js", "JavaScript", 106, 0, 0, 0, 8, 114
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Lessons\LessonDetails.module.css", "CSS", 0, 36, 0, 0, 8, 44
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Lessons\Section.js", "JavaScript", 74, 0, 0, 0, 7, 81
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Lessons\Section.module.css", "CSS", 0, 28, 0, 0, 5, 33
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Lessons\Text.js", "JavaScript", 39, 0, 0, 0, 9, 48
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Lessons\Text.module.css", "CSS", 0, 10, 0, 0, 2, 12
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Submissions\Answers\CheckTextArea.js", "JavaScript", 29, 0, 0, 0, 4, 33
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Submissions\Answers\CheckTextArea.module.css", "CSS", 0, 25, 0, 0, 4, 29
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Submissions\CheckSubmissionDetails.js", "JavaScript", 60, 0, 0, 0, 7, 67
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Submissions\CheckSubmissionDetails.module.css", "CSS", 0, 26, 0, 0, 5, 31
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Submissions\CheckSubmissions.js", "JavaScript", 80, 0, 0, 0, 7, 87
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Submissions\CheckSubmissions.module.css", "CSS", 0, 36, 0, 0, 7, 43
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\TaskSubmissions\CheckTaskSubmissionDetails.js", "JavaScript", 48, 0, 0, 0, 6, 54
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\TaskSubmissions\CheckTaskSubmissionDetails.module.css", "CSS", 0, 26, 0, 0, 5, 31
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\TaskSubmissions\CheckTaskSubmissions.js", "JavaScript", 73, 0, 0, 0, 6, 79
